pass,pass_name,row_id,kind,phase,step_i,item_key,start_x,start_y,start_z,start_rx,start_ry,start_rz,send_x,send_y,send_z,send_rx,send_ry,send_rz,target_x,target_y,target_z,target_rx,target_ry,target_rz,meas_x,meas_y,meas_z,meas_rx,meas_ry,meas_rz,ex,ey,ez,err_xyz,erx,ery,erz,err_r
0,baseline,0,pick,go_top,0,ham,120.8,8.7,244.9,177.71,-1.79,-90.04,240.0,-125.0,180.0,-180.0,0.0,-90.0,240.0,-125.0,180.0,-180.0,0.0,-90.0,232.5,-121.6,165.9,174.66,0.3,-90.41,-7.5,3.4000000000000057,-14.099999999999994,16.328502687019405,-5.340000000000032,0.3000000000000113,-0.4099999999999966,5.364112228505323
0,baseline,1,pick,go_down,0,ham,232.5,-121.6,165.9,174.66,0.3,-90.41,240.0,-125.0,130.0,-180.0,0.0,-90.0,240.0,-125.0,130.0,-180.0,0.0,-90.0,240.0,-122.9,119.9,176.29,-0.06,-90.32,0.0,2.0999999999999943,-10.099999999999994,10.316006979447032,-3.710000000000037,-0.0600000000000022,-0.3199999999999932,3.72425831542339
0,baseline,2,pick,go_up,0,ham,240.0,-122.9,119.9,176.29,-0.06,-90.32,240.0,-125.0,180.0,-180.0,0.0,-90.0,240.0,-125.0,180.0,-180.0,0.0,-90.0,233.3,-121.8,162.2,174.06,0.44,-90.41,-6.699999999999989,3.200000000000003,-17.80000000000001,19.286523792534524,-5.940000000000055,0.4399999999999977,-0.4099999999999966,5.970368497840032
0,baseline,3,base,untwist_angle,0,ham,233.3,-121.8,162.2,174.06,0.44,-90.41,18.4,-183.0,265.4,-179.7,2.6599999999999966,-179.61,18.4,-183.0,265.4,-179.7,2.6599999999999966,-179.61,23.5,-186.3,256.3,177.18,0.44,-177.75,5.100000000000001,-3.300000000000012,-9.099999999999966,10.941206514822737,-3.1200000000000045,-2.219999999999999,1.8600000000000136,4.257041226016031
0,baseline,4,place,go_top,0,ham,23.5,-186.3,256.3,177.18,0.44,-177.75,0.0,-150.0,200.0,-180.0,0.0,-180.0,0.0,-150.0,200.0,-180.0,0.0,-180.0,3.7,-148.7,191.4,175.6,-1.16,-177.96,3.7,1.3000000000000114,-8.599999999999994,9.451983918733672,-4.399999999999977,-1.1599999999999966,2.039999999999992,4.986702317163092
0,baseline,5,place,go_down,0,ham,3.7,-148.7,191.4,175.6,-1.16,-177.96,0.0,-150.0,160.0,-180.0,0.0,-180.0,0.0,-150.0,160.0,-180.0,0.0,-180.0,2.8,-147.0,153.9,176.47,-0.76,-177.97,2.8,3.0,-6.099999999999994,7.351870510285115,-3.5299999999999727,-0.7599999999999909,2.030000000000001,4.142390614126075
0,baseline,6,place,go_up,0,ham,2.8,-147.0,153.9,176.47,-0.76,-177.97,0.0,-150.0,200.0,-180.0,0.0,-180.0,0.0,-150.0,200.0,-180.0,0.0,-180.0,4.0,-149.3,189.0,175.28,-1.31,-177.95,4.0,0.6999999999999886,-11.0,11.725612990372827,-4.720000000000027,-1.3100000000000025,2.050000000000012,5.310084745086495
0,baseline,7,base,go_base,0,ham,4.0,-149.3,189.0,175.28,-1.31,-177.95,120.0,10.0,250.0,-180.0,0.0,-90.0,120.0,10.0,250.0,-180.0,0.0,-90.0,121.8,9.5,242.3,176.48,-2.04,-90.21,1.7999999999999972,-0.5,-7.699999999999989,7.92338311581611,-3.519999999999982,-2.039999999999992,-0.2099999999999795,4.073831120701966
0,baseline,8,pick,go_top,1,lettuce,121.8,9.5,242.3,176.48,-2.04,-90.21,240.0,-75.0,180.0,-180.0,0.0,-90.0,240.0,-75.0,180.0,-180.0,0.0,-90.0,238.8,-72.6,165.6,174.44,-0.62,-90.01,-1.1999999999999886,2.4000000000000057,-14.400000000000006,14.647866738880449,-5.559999999999945,-0.6200000000000045,-0.0099999999999909,5.594470484326412
0,baseline,9,pick,go_down,1,lettuce,238.8,-72.6,165.6,174.44,-0.62,-90.01,240.0,-75.0,130.0,-180.0,0.0,-90.0,240.0,-75.0,130.0,-180.0,0.0,-90.0,237.3,-72.6,118.9,175.32,-0.65,-90.02,-2.6999999999999886,2.4000000000000057,-11.099999999999994,11.673045875006226,-4.680000000000064,-0.6500000000000057,-0.0199999999999818,4.72496560834051
0,baseline,10,pick,go_up,1,lettuce,237.3,-72.6,118.9,175.32,-0.65,-90.02,240.0,-75.0,180.0,-180.0,0.0,-90.0,240.0,-75.0,180.0,-180.0,0.0,-90.0,240.5,-72.7,162.0,174.35,-0.62,-90.01,0.5,2.299999999999997,-18.0,18.15323662601245,-5.649999999999977,-0.6200000000000045,-0.0099999999999909,5.683924700416056
0,baseline,11,base,untwist_angle,1,lettuce,240.5,-72.7,162.0,174.35,-0.62,-90.01,-1.1,-142.3,166.3,171.0,-1.740000000000009,-179.68,-1.1,-142.3,166.3,171.0,-1.740000000000009,-179.68,0.0,-140.6,158.9,167.47,-3.91,-177.73,1.1,1.700000000000017,-7.400000000000006,7.6720271115266625,-3.530000000000001,-2.1699999999999875,1.950000000000017,4.579552379872952
0,baseline,12,place,go_top,1,lettuce,0.0,-140.6,158.9,167.47,-3.91,-177.73,0.0,-150.0,205.0,-180.0,0.0,-180.0,0.0,-150.0,205.0,-180.0,0.0,-180.0,3.6,-149.5,195.9,176.03,-1.05,-178.05,3.6,0.5,-9.099999999999994,9.798979538707076,-3.9700000000000273,-1.0500000000000114,1.9499999999999889,4.545976242788802
0,baseline,13,place,go_down,1,lettuce,3.6,-149.5,195.9,176.03,-1.05,-178.05,0.0,-150.0,165.0,-180.0,0.0,-180.0,0.0,-150.0,165.0,-180.0,0.0,-180.0,2.5,-147.4,158.3,176.35,-0.9,-178.06,2.5,2.5999999999999943,-6.699999999999989,7.6092049518987075,-3.649999999999977,-0.9000000000000057,1.9399999999999975,4.230378233680747
0,baseline,14,place,go_up,1,lettuce,2.5,-147.4,158.3,176.35,-0.9,-178.06,0.0,-150.0,205.0,-180.0,0.0,-180.0,0.0,-150.0,205.0,-180.0,0.0,-180.0,3.5,-149.5,195.2,175.79,-1.16,-178.05,3.5,0.5,-9.800000000000011,10.418253212511214,-4.210000000000036,-1.1599999999999966,1.9499999999999889,4.782488891780122
0,baseline,15,base,go_base,1,lettuce,3.5,-149.5,195.2,175.79,-1.16,-178.05,120.0,10.0,250.0,-180.0,0.0,-90.0,120.0,10.0,250.0,-180.0,0.0,-90.0,121.1,9.7,242.9,176.61,-1.62,-90.06,1.0999999999999943,-0.3000000000000007,-7.099999999999994,7.190966555338712,-3.3899999999999864,-1.6200000000000043,-0.0600000000000022,3.757672151745004
0,baseline,16,pick,go_top,2,cheese,121.1,9.7,242.9,176.61,-1.62,-90.06,240.0,-25.0,180.0,-180.0,0.0,-90.0,240.0,-25.0,180.0,-180.0,0.0,-90.0,238.1,-22.1,166.3,174.8,-1.4,-89.91,-1.9000000000000057,2.8999999999999986,-13.699999999999989,14.131878855976645,-5.2000000000000455,-1.4000000000000057,0.0900000000000034,5.385916820746537
0,baseline,17,pick,go_down,2,cheese,238.1,-22.1,166.3,174.8,-1.4,-89.91,240.0,-25.0,130.0,-180.0,0.0,-90.0,240.0,-25.0,130.0,-180.0,0.0,-90.0,237.2,-22.2,120.0,175.92,-1.18,-89.85,-2.800000000000012,2.8000000000000007,-10.0,10.755463727799004,-4.080000000000041,-1.1800000000000068,0.1500000000000056,4.249858821184576
0,baseline,18,pick,go_up,2,cheese,237.2,-22.2,120.0,175.92,-1.18,-89.85,240.0,-25.0,180.0,-180.0,0.0,-90.0,240.0,-25.0,180.0,-180.0,0.0,-90.0,239.8,-21.8,163.9,174.97,-1.36,-89.83,-0.1999999999999886,3.1999999999999997,-16.099999999999994,16.41615058410466,-5.029999999999973,-1.3600000000000136,0.1700000000000159,5.21338661524347
0,baseline,19,base,untwist_angle,2,cheese,239.8,-21.8,163.9,174.97,-1.36,-89.83,-1.1,-142.4,166.4,171.08000000000004,-1.6999999999999886,-179.69,-1.1,-142.4,166.4,171.08000000000004,-1.6999999999999886,-179.69,0.0,-140.6,158.9,167.47,-3.91,-177.73,1.1,1.8000000000000114,-7.5,7.791020472312985,-3.610000000000042,-2.210000000000008,1.960000000000008,4.664525699361122
0,baseline,20,place,go_top,2,cheese,0.0,-140.6,158.9,167.47,-3.91,-177.73,0.0,-150.0,210.0,-180.0,0.0,-180.0,0.0,-150.0,210.0,-180.0,0.0,-180.0,3.4,-149.1,201.9,176.39,-0.79,-178.15,3.4,0.9000000000000057,-8.099999999999994,8.83062851670253,-3.6100000000000136,-0.789999999999992,1.8499999999999943,4.132638382438036
0,baseline,21,place,go_down,2,cheese,3.4,-149.1,201.9,176.39,-0.79,-178.15,0.0,-150.0,170.0,-180.0,0.0,-180.0,0.0,-150.0,170.0,-180.0,0.0,-180.0,2.8,-147.8,162.1,175.83,-1.05,-178.14,2.8,2.1999999999999886,-7.900000000000006,8.665448632355975,-4.169999999999959,-1.0500000000000114,1.8600000000000136,4.685189430535305
0,baseline,22,place,go_up,2,cheese,2.8,-147.8,162.1,175.83,-1.05,-178.14,0.0,-150.0,210.0,-180.0,0.0,-180.0,0.0,-150.0,210.0,-180.0,0.0,-180.0,3.4,-149.0,201.6,176.31,-0.83,-178.15,3.4,1.0,-8.400000000000006,9.117017056033191,-3.690000000000055,-0.8300000000000125,1.8499999999999943,4.210403781111784
0,baseline,23,base,go_base,2,cheese,3.4,-149.0,201.6,176.31,-0.83,-178.15,120.0,10.0,250.0,-180.0,0.0,-90.0,120.0,10.0,250.0,-180.0,0.0,-90.0,121.8,9.9,242.3,176.48,-2.04,-90.04,1.7999999999999972,-0.0999999999999996,-7.699999999999989,7.908223567907005,-3.519999999999982,-2.039999999999992,-0.0400000000000204,4.0686115567844325
0,baseline,24,pick,go_top,3,tomato,121.8,9.9,242.3,176.48,-2.04,-90.04,240.0,25.0,180.0,-180.0,0.0,-90.0,240.0,25.0,180.0,-180.0,0.0,-90.0,237.5,27.3,166.5,174.93,-1.54,-89.51,-2.5,2.3000000000000007,-13.5,13.920847675339314,-5.069999999999936,-1.539999999999992,0.4900000000000091,5.3213344191094905
0,baseline,25,pick,go_down,3,tomato,237.5,27.3,166.5,174.93,-1.54,-89.51,240.0,25.0,130.0,-180.0,0.0,-90.0,240.0,25.0,130.0,-180.0,0.0,-90.0,236.5,26.8,120.0,175.95,-1.23,-89.52,-3.5,1.8000000000000007,-10.0,10.746627377926528,-4.0499999999999545,-1.2299999999999898,0.4800000000000182,4.259788727155329
0,baseline,26,pick,go_up,3,tomato,236.5,26.8,120.0,175.95,-1.23,-89.52,240.0,25.0,180.0,-180.0,0.0,-90.0,240.0,25.0,180.0,-180.0,0.0,-90.0,239.1,27.8,163.2,174.88,-1.65,-89.5,-0.9000000000000057,2.8000000000000007,-16.80000000000001,17.055497647386325,-5.1200000000000045,-1.6500000000000057,0.5,5.402490166580598
0,baseline,27,base,untwist_angle,3,tomato,239.1,27.8,163.2,174.88,-1.65,-89.5,-1.1,-142.4,166.4,171.08000000000004,-1.6999999999999886,-179.69,-1.1,-142.4,166.4,171.08000000000004,-1.6999999999999886,-179.69,0.3,-140.5,158.9,167.43,-3.83,-177.66,1.4,1.9000000000000057,-7.5,7.862569554541316,-3.650000000000034,-2.130000000000024,2.030000000000001,4.688315262437068
0,baseline,28,place,go_top,3,tomato,0.3,-140.5,158.9,167.43,-3.83,-177.66,0.0,-150.0,215.0,-180.0,0.0,-180.0,0.0,-150.0,215.0,-180.0,0.0,-180.0,3.4,-148.5,207.9,176.79,-0.61,-178.07,3.4,1.5,-7.099999999999994,8.013738203859663,-3.2100000000000364,-0.6100000000000136,1.9300000000000068,3.7948781271603806
0,baseline,29,place,go_down,3,tomato,3.4,-148.5,207.9,176.79,-0.61,-178.07,0.0,-150.0,175.0,-180.0,0.0,-180.0,0.0,-150.0,175.0,-180.0,0.0,-180.0,3.2,-148.2,166.0,175.44,-1.24,-178.04,3.2,1.8000000000000114,-9.0,9.720082304178296,-4.559999999999945,-1.240000000000009,1.960000000000008,5.11593588701027
0,baseline,30,place,go_up,3,tomato,3.2,-148.2,166.0,175.44,-1.24,-178.04,0.0,-150.0,215.0,-180.0,0.0,-180.0,0.0,-150.0,215.0,-180.0,0.0,-180.0,3.3,-148.5,207.4,176.63,-0.68,-178.06,3.3,1.5,-7.599999999999994,8.420213774008348,-3.3700000000000045,-0.6800000000000068,1.9399999999999975,3.947518207684422
0,baseline,31,base,go_base,3,tomato,3.3,-148.5,207.4,176.63,-0.68,-178.06,120.0,10.0,250.0,-180.0,0.0,-90.0,120.0,10.0,250.0,-180.0,0.0,-90.0,121.1,9.7,242.7,176.54,-1.68,-90.06,1.0999999999999943,-0.3000000000000007,-7.300000000000011,7.388504584826361,-3.4600000000000364,-1.6800000000000068,-0.0600000000000022,3.8467648745407192
0,baseline,32,pick,go_top,4,bread_w,121.1,9.7,242.7,176.54,-1.68,-90.06,240.0,75.0,180.0,-180.0,0.0,-90.0,240.0,75.0,180.0,-180.0,0.0,-90.0,237.0,77.3,165.6,174.95,-2.39,-89.66,-3.0,2.299999999999997,-14.400000000000006,14.887914561818258,-5.0499999999999545,-2.3899999999999864,0.3400000000000034,5.597338653324406
0,baseline,33,pick,go_down,4,bread_w,237.0,77.3,165.6,174.95,-2.39,-89.66,240.0,75.0,130.0,-180.0,0.0,-90.0,240.0,75.0,130.0,-180.0,0.0,-90.0,235.7,76.5,118.9,175.69,-1.92,-89.69,-4.300000000000011,1.5,-11.099999999999994,11.997916485790356,-4.309999999999945,-1.9199999999999875,0.3100000000000023,4.728488130470403
0,baseline,34,pick,go_up,4,bread_w,235.7,76.5,118.9,175.69,-1.92,-89.69,240.0,75.0,180.0,-180.0,0.0,-90.0,240.0,75.0,180.0,-180.0,0.0,-90.0,238.4,78.2,162.0,174.88,-2.43,-89.57,-1.5999999999999943,3.200000000000003,-18.0,18.35211159512714,-5.1200000000000045,-2.430000000000007,0.4300000000000068,5.683678386397324
0,baseline,35,base,untwist_angle,4,bread_w,238.4,78.2,162.0,174.88,-2.43,-89.57,-1.1,-142.3,166.6,171.15999999999997,-1.6599999999999966,-179.69,-1.1,-142.3,166.6,171.15999999999997,-1.6599999999999966,-179.69,0.0,-140.6,159.7,167.92,-3.87,-178.45,1.1,1.700000000000017,-6.900000000000006,7.190966555338728,-3.2399999999999807,-2.210000000000008,1.240000000000009,4.113307671448847
0,baseline,36,place,go_top,4,bread_w,0.0,-140.6,159.7,167.92,-3.87,-178.45,0.0,-150.0,220.0,-180.0,0.0,-180.0,0.0,-150.0,220.0,-180.0,0.0,-180.0,3.3,-149.4,212.5,176.56,-0.75,-178.77,3.3,0.5999999999999943,-7.5,8.215838362577491,-3.4400000000000546,-0.75,1.2299999999999898,3.729477175154763
0,baseline,37,place,go_down,4,bread_w,3.3,-149.4,212.5,176.56,-0.75,-178.77,0.0,-150.0,180.0,-180.0,0.0,-180.0,0.0,-150.0,180.0,-180.0,0.0,-180.0,2.7,-148.0,171.2,175.53,-1.23,-178.66,2.7,2.0,-8.800000000000011,9.419660291114548,-4.470000000000027,-1.2299999999999898,1.3400000000000034,4.825909240754557
0,baseline,38,place,go_up,4,bread_w,2.7,-148.0,171.2,175.53,-1.23,-178.66,0.0,-150.0,220.0,-180.0,0.0,-180.0,0.0,-150.0,220.0,-180.0,0.0,-180.0,3.3,-149.3,212.0,176.4,-0.82,-178.68,3.3,0.6999999999999886,-8.0,8.682165628459295,-3.6000000000000227,-0.8199999999999932,1.3199999999999932,3.921071282188088
0,baseline,39,base,go_base,4,bread_w,3.3,-149.3,212.0,176.4,-0.82,-178.68,120.0,10.0,250.0,-180.0,0.0,-90.0,120.0,10.0,250.0,-180.0,0.0,-90.0,121.2,9.8,242.8,176.54,-1.68,-90.06,1.2000000000000028,-0.1999999999999993,-7.199999999999989,7.302054505411462,-3.4600000000000364,-1.6800000000000068,-0.0600000000000022,3.8467648745407192
0,baseline,40,pick,go_top,5,bread_o,121.2,9.8,242.8,176.54,-1.68,-90.06,240.0,125.0,180.0,-180.0,0.0,-90.0,240.0,125.0,180.0,-180.0,0.0,-90.0,235.1,115.7,165.9,175.53,-2.89,-90.09,-4.900000000000006,-9.299999999999995,-14.099999999999994,17.587211262732925,-4.470000000000027,-2.8899999999999864,-0.0900000000000034,5.32363597553403
0,baseline,41,pick,go_down,5,bread_o,235.1,115.7,165.9,175.53,-2.89,-90.09,240.0,125.0,130.0,-180.0,0.0,-90.0,240.0,125.0,130.0,-180.0,0.0,-90.0,240.9,120.6,119.8,176.8,-1.8,-90.14,0.9000000000000057,-4.400000000000006,-10.200000000000005,11.144954015158614,-3.200000000000045,-1.8000000000000114,-0.1399999999999863,3.6741801806662022
0,baseline,42,pick,go_up,5,bread_o,240.9,120.6,119.8,176.8,-1.8,-90.14,240.0,125.0,180.0,-180.0,0.0,-90.0,240.0,125.0,180.0,-180.0,0.0,-90.0,235.8,116.3,162.3,175.12,-3.23,-90.07,-4.199999999999989,-8.700000000000003,-17.69999999999999,20.16482085216726,-4.879999999999996,-3.2299999999999898,-0.0699999999999931,5.852537911026283
0,baseline,43,base,untwist_angle,5,bread_o,235.8,116.3,162.3,175.12,-3.23,-90.07,-1.1,-142.3,166.8,171.23000000000002,-1.6200000000000043,-179.69,-1.1,-142.3,166.8,171.23000000000002,-1.6200000000000043,-179.69,0.0,-140.4,159.5,167.74,-3.89,-178.18,1.1,1.9000000000000057,-7.300000000000011,7.622991538759583,-3.490000000000009,-2.269999999999982,1.509999999999991,4.428667971297911
0,baseline,44,place,go_top,5,bread_o,0.0,-140.4,159.5,167.74,-3.89,-178.18,0.0,-150.0,225.0,-180.0,0.0,-180.0,0.0,-150.0,225.0,-180.0,0.0,-180.0,3.7,-149.5,217.3,176.52,-0.66,-178.42,3.7,0.5,-7.699999999999989,8.557452892070152,-3.480000000000018,-0.6599999999999966,1.5800000000000125,3.878453299963809
0,baseline,45,place,go_down,5,bread_o,3.7,-149.5,217.3,176.52,-0.66,-178.42,0.0,-150.0,185.0,-180.0,0.0,-180.0,0.0,-150.0,185.0,-180.0,0.0,-180.0,3.1,-148.4,176.1,175.44,-1.26,-178.39,3.1,1.5999999999999943,-8.900000000000006,9.559288676465425,-4.559999999999945,-1.259999999999991,1.6100000000000136,4.997329286729015
0,baseline,46,place,go_up,5,bread_o,3.1,-148.4,176.1,175.44,-1.26,-178.39,0.0,-150.0,225.0,-180.0,0.0,-180.0,0.0,-150.0,225.0,-180.0,0.0,-180.0,3.4,-149.5,217.2,176.48,-0.77,-178.5,3.4,0.5,-7.800000000000011,8.523496934944024,-3.519999999999982,-0.7700000000000102,1.5,3.902986036357277
